KraterNr. mit Profilbuchstabe, Vegetation, Latitude(Tiefpunkt), Longitude(Tiefpunkt), Hillslope Azimuth, Kraterradius (m), Höhenunterschied (m), Wasserscheide erkennbar?, r1(D 1D)(m), t1(D 1D)(a), t2(D 1D)(a), D (1D)(m^2/a),   Volume to ref Margin (m3), r1 (ref 2D)(m), t1(ref 2D)(a), t2 (ref 2D)(a), D 2D 0.9 to ref margin (m^2/a), D 2D from fit to ref margin (m^2/a), Volume to devide (m3), r1 (devide 2D)(m), t1(devide 2D)(a), t2(devide 2D) (a), D 2D 0.9 to devide (m^2/a), D 2D from fit to devide (m^2/a)
2c,Waldlichtung, 50.77966231, 6.90270744 ,  129.3657333459465 ,  3.1283026472356266 ,  0.6679953438895154 ,    ,  2.43465348401452 ,  119.8183728164519 ,  197.8183728164519 ,  0.002045667010980529 ,  7.68514587963371 ,  2.9672398787681287 ,  699.5075263925629 ,  777.5075263925629 ,  0.0016467539560222802 ,  0.0013960371663784652 ,  7.68514587963371 ,  2.5655475632424705 ,  160.22463051554945 ,  238.22463051554945 ,  0.00537460627875957 ,  0.004649724204300071
3a,Waldlichtung,  50.77891634, 6.90187287 ,  3.35133106792739 ,  4.153736065197504 ,  1.0982862200055763 ,    ,  3.685659708043798 ,  288.7525158890397 ,  366.7525158890397 ,  0.0010145088153250515 ,  13.800808535673625 ,  3.723645005448165 ,  319.21910381052516 ,  397.21910381052516 ,  0.0037325864716712754 ,  0.003010469792597287 ,  15.066844157039549 ,  3.625948530208694 ,  249.7564734817906 ,  327.75647348179064 ,  0.005197682648027525 ,  0.003658728124042305
3a,Waldlichtung, 50.77891634, 6.90187287 ,  183.3513310679274 ,  5.19217008149688 ,  1.0797158377511096 ,  True ,  4.715607751735045 ,  367.34486953403865 ,  445.34486953403865 ,  0.0010145088153250522 ,  19.18809133909603 ,  4.677622454330678 ,  336.0557496742853 ,  414.0557496742853 ,  0.0037325864716712654 ,  0.003914545229677977 ,  24.606727874873762 ,  4.775318929570149 ,  428.0875480080809 ,  506.0875480080809 ,  0.005197682648027503 ,  0.003963796168322106
3b,Waldlichtung,  50.77891164, 6.90186851 ,  314.5103044073794 ,  4.120956540947368 ,  1.1245701381138247 ,    ,  3.4401826745092627 ,  179.33600928467547 ,  257.33600928467547 ,  0.0010848315221472892 ,  18.876866518199403 ,  3.461564570807582 ,  186.9313725339178 ,  264.9313725339178 ,  0.006621139418425704 ,  0.005755700116804594 ,  18.876866518199403 ,  3.461564570807582 ,  186.9313725339178 ,  264.9313725339178 ,  0.006621139418425704 ,  0.005494889963257118
3b,Waldlichtung, 50.77891164, 6.90186851 ,  134.51030440737944 ,  4.120956540947368 ,  1.1691410609654156 ,    ,  3.646243886212071 ,  281.2488202790566 ,  359.2488202790566 ,  0.001084831522147291 ,  18.120384549227598 ,  3.6248619899137515 ,  266.7139800219258 ,  344.7139800219258 ,  0.006621139418425706 ,  0.00419442276764538 ,  18.120384549227598 ,  3.6248619899137515 ,  266.7139800219258 ,  344.7139800219258 ,  0.006621139418425706 ,  0.0041835026226820305
3c,Waldlichtung,  50.77891179, 6.90186843 ,  226.78991060797932 ,  5.20434575113738 ,  1.1437168666295179 ,    ,  4.217770989887255 ,  149.27329229660202 ,  227.27329229660202 ,  0.0017611553566171361 ,  15.197568481214947 ,  4.259411344326613 ,  158.24446252721836 ,  236.24446252721836 ,  0.00841091899590778 ,  0.00525755051987147 ,  17.518939067661123 ,  4.002125530158477 ,  112.87526543914173 ,  190.87526543914174 ,  0.008215944533455465 ,  0.006472705083065957
3c,Waldlichtung, 50.77891179, 6.90186843 ,  46.78991060797934 ,  4.1634766009099025 ,  1.161716570173013 ,  True ,  3.1853369443911506 ,  110.09998625207312 ,  188.0999862520731 ,  0.0017611553566171335 ,  16.870112005318617 ,  3.1436965899517926 ,  103.44748933024495 ,  181.44748933024493 ,  0.008410918995907787 ,  0.007706826905950709 ,  19.647442914437406 ,  3.4009824041199286 ,  156.41880238473232 ,  234.41880238473232 ,  0.008215944533455468 ,  0.006514826375407553
4a,Waldlichtung,  50.77871577, 6.90196260 ,  265.82523010521567 ,  4.105225339477408 ,  0.8991367885045918 ,  True ,  2.897994422712863 ,  77.48213685828246 ,  155.48213685828244 ,  0.002069453916632044 ,  10.668379129146372 ,    ,    ,    ,    ,    ,  14.162578071844242 ,  2.9708896327743872 ,  85.76915975005697 ,  163.76915975005699 ,  0.009944357440133304 ,  0.008566167482297826
4a,Waldlichtung, 50.77871577, 6.90196260 ,  85.82523010521567 ,  4.105225339477408 ,  0.6405665806362038 ,  True ,  2.8671074045285274 ,  74.27495676718836 ,  152.27495676718837 ,  0.002069453916632042 ,  7.985231446135755 ,    ,    ,    ,    ,    ,  9.851664091591186 ,  2.7942121944670033 ,  67.32752298149141 ,  145.32752298149143 ,  0.0099443574401333 ,  0.009404568899584026
4b,Waldlichtung,  50.77871724, 6.90197622 ,  325.4285284784163 ,  8.241002682167338 ,  0.837139456612789 ,    ,  4.547335757945083 ,  34.14576091224954 ,  112.14576091224954 ,  0.008060895125562743 ,  40.50212122594029 ,  5.315835464936321 ,  55.58128133525627 ,  133.58128133525628 ,  0.031182878716299326 ,  0.030578471004793936 ,  42.29937984273786 ,  5.287881199734844 ,  54.59020177712645 ,  132.59020177712645 ,  0.031104792347516206 ,  0.03165936547762583
4b,Waldlichtung, 50.77871724, 6.90197622 ,  145.42852847841633 ,  6.180752011625504 ,  0.6771410260881794 ,    ,  2.353108992157743 ,  13.222138365185808 ,  91.22213836518581 ,  0.008060895125562744 ,  14.887476159775929 ,  1.5846092851665043 ,  5.487617369032327 ,  83.48761736903232 ,  0.031182878716299326 ,  0.02167799869961154 ,  14.887476159775929 ,  1.612563550367981 ,  5.697207094173958 ,  83.69720709417396 ,  0.031104792347516192 ,  0.020927519613050578
4c,Waldlichtung,  50.77871148, 6.90195299 ,  233.8418145620549 ,  4.2104643469706655 ,  0.9274287632533458 ,    ,  3.205555403848865 ,  107.5483095940804 ,  185.5483095940804 ,  0.0023582167555523145 ,  11.880759442654089 ,  2.90984218118862 ,  71.31545073749048 ,  149.3154507374905 ,  0.012565592650978195 ,  0.007673908093021058 ,  11.880759442654089 ,  2.552199635389563 ,  45.3056347336998 ,  123.3056347336998 ,  0.015216150782700005 ,  0.008715937533627706
4c,Waldlichtung, 50.77871148, 6.90195299 ,  53.8418145620549 ,  6.315696520455997 ,  0.7462838309151891 ,  True ,  4.744599622787522 ,  101.04713771662966 ,  179.04713771662966 ,  0.0023582167555523136 ,  28.572935333541817 ,  5.040312845447767 ,  136.81792314393158 ,  214.81792314393158 ,  0.012565592650978188 ,  0.01550013678751468 ,  36.442155651102134 ,  5.397955391246824 ,  211.41737468707748 ,  289.4173746870775 ,  0.015216150782700015 ,  0.014440550561492807
